State,Year,GDP,Expenditure,Total_GDP
US,2011,0.052238998,80781.70579,1546386.957
US,2012,0.0519486,84698.48136,1630428.571
US,2013,0.0494379,83225.32137,1683431.579
US,2014,0.0498948,86947.24905,1742611.429
US,2015,0.0497483,89852.06289,1806133.333
Australia,2011,0.0508313,7510.889367,147761.1111
Australia,2012,0.0487765,7522.197064,154217.6471
Australia,2013,0.0523801,7649.035193,146029.4118
Australia,2014,0.0517368,7411.009171,143244.4444
Australia,2015,0.0532175,6606.812578,124147.3684
Brazil,2011,0.0573741,14127.79838,246239.9999
Brazil,2012,0.058551,13266.48558,226580
Brazil,2013,0.0583885,12796.81292,219166.6667
Brazil,2014,0.0594848,13876.95406,233285.7143
Brazil,2015,0.0624106,10959.30136,175600
Russia,2011,0.0357326,6783.206374,189832.4324
Russia,2012,0.0378973,7718.637834,203672.5
Russia,2013,0.0375621,7901.724336,210364.2857
Russia,2014,0.0400528,7538.560005,188215.5556
Russia,2015,0.038334,4715.152991,123001.8519
India,2011,0.0379618,7246.90762,190900
India,2012,0.038675,7304.4699,188868
India,2013,0.0384467,7593.86403,197516.6667
India,2014,0.085845,7857.964932,91536.66413
India,2015,0.0394527,8792.291494,222856.5217
UK,2011,0.056462,10778.5958,190900
UK,2012,0.0563894,10650.1532,188868
UK,2013,0.0558823,11037.68562,197516.6666
UK,2014,0.0566499,11537.09203,203655.9999
UK,2015,0.0560939,12500.89144,222856.5217
Germany,2011,0.048078,17803.65323,370307.6923
Germany,2012,0.0493331,17635.06531,357469.2308
Germany,2013,0.0493497,18889.00892,382758.3333
Germany,2014,0.0492086,189055.3405,3841916.667
Germany,2015,0.0480518,15774.20465,328275.0001
South Korea,2011,0.04609835,5494.92332,119200
South Korea,2012,0.046182299,5675.449257,122892.3077
South Korea,2013,0.049306998,6514.971606,132130.7692
South Korea,2014,0.050567198,7251.725143,143407.6923
South Korea,2015,0.050654402,7098.435112,140134.6154
Japan,2011,0.0364258,22133.0446,607620.0001
Japan,2012,0.0369226,22157.99071,600119.9999
Japan,2013,0.0366538,17969.15891,490239.9999
Japan,2014,0.0359059,16468.95915,458669.9999
Japan,2015,0.035934,14691.61,408849.8358
France,2011,0.055183,15499.46514,280873.913
France,2012,0.0545642,14889.82612,272886.3636
France,2013,0.0550028,15605.0444,283713.6364
France,2014,0.0551206,15938.37204,289154.5455
France,2015,0.0546424,13233.86888,242190.4763
