State,Year,GDP,Expenditure,Total_GDP
US,2011,0.01636738,253103.0335,15463869.81
US,2012,0.016366378,266842.0953,16304285.24
US,2013,0.016330838,274918.4808,16834315.59
US,2014,0.016505106,287619.8567,17426113.88
US,2015,0.016815659,303713.2253,18061333.5
Australia,2011,0.085567058,12643.48352,147761.1106
Australia,2012,0.086893629,13400.53107,154217.6478
Australia,2013,0.087736392,12812.09375,146029.4122
Australia,2014,0.090546789,12970.32441,143244.4436
Australia,2015,0.093300672,11583.03286,124147.368
Brazil,2011,0.097830923,24089.88648,246240
Brazil,2012,0.100391837,22746.7824,226579.9997
Brazil,2013,0.102385092,22439.39936,219166.667
Brazil,2014,0.108198215,25241.09783,233285.7139
Brazil,2015,0.114647339,20132.07273,175600
Russia,2011,0.047815121,9076.86063,189832.4304
Russia,2012,0.049319948,10045.11709,203672.4996
Russia,2013,0.050707524,10667.05209,210364.2862
Russia,2014,0.051709931,9732.613337,188215.5545
Russia,2015,0.052770032,6490.811649,123001.8517
India,2011,0.032463422,6197.267164,190899.997
India,2012,0.03329353,6288.082348,188867.9977
India,2013,0.037494418,7405.772542,197516.6688
India,2014,0.036195655,7371.462355,203656.0011
India,2015,0.035977055,8017.721361,222856.5223
UK,2011,0.084221061,22069.57985,262043.4792
UK,2012,0.083391688,22173.09184,265890.9104
UK,2013,0.09772347,26460.72369,270771.4297
UK,2014,0.097239234,28774.54799,295915.0006
UK,2015,0.097927345,27155.2528,277300.0003
Germany,2011,0.107150996,39678.83802,370307.692
Germany,2012,0.107672953,38489.76776,357469.2315
Germany,2013,0.109151028,41778.46536,382758.3315
Germany,2014,0.109573841,42097.35641,384191.665
Germany,2015,0.110790663,36369.80473,328274.9985
South Korea,2011,0.063023806,7512.437663,119199.9998
South Korea,2012,0.064371749,7910.792834,122892.3085
South Korea,2013,0.065780592,8691.640153,132130.7682
South Korea,2014,0.068203935,9780.968938,143407.6925
South Korea,2015,0.070492162,9878.392067,140134.6162
Japan,2011,0.106167177,64509.29978,607619.9971
Japan,2012,0.107906533,64756.86846,600119.9989
Japan,2013,0.107915941,52904.71111,490240.0018
Japan,2014,0.108320501,49683.36401,458669.9983
Japan,2015,0.108718794,44449.67885,408849.9993
France,2011,0.111942851,31441.82659,280873.913
France,2012,0.113208963,30893.18224,272886.3636
France,2013,0.114419937,32462.49637,283713.6361
France,2014,0.115950067,33527.48901,289154.5462
France,2015,0.115013605,27855.19969,242190.4756
