,Country,HS2011,HS2012,HS2013,HS2014,HS2015,%HS2011,%HS2012,%HS2013,%HS2014,%HS2015,total_GDP2011,total_GDP2012,total_GDP2013,total_GDP2014,total_GDP2015,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,GDP_PP_2011,HS_PP_2011,GDP_PP_2012,HS_PP_2012,GDP_PP_2013,HS_PP_2013,GDP_PP_2014,HS_PP_2014,GDP_PP_2015,HS_PP_2015,Change,Percentage_change_HS,Value_change_HS
0,US,253103.0335,266842.0953,274918.4808,287619.8567,303713.2253,16.36738026,16.36637753,16.33083781,16.50510561,16.81565916,15463,16304,16834,17426,18061,311580009,313874218,316234505,318622525,321039839,4.962770252696154e-05,0.0008123211572922189,5.194437473676159e-05,0.0008501561453511928,5.323264771502401e-05,0.0008693500438859448,5.4691676302546404e-05,0.0009026978136589684,5.625781540464827e-05,0.0009460297084811334,0.0,0.0,0.0
1,Australia,12643.48352,13400.53107,12812.09375,12970.32441,11583.03286,8.55670577,8.68936294,8.77363922,9.05467885,9.33006717,1477,1542,1460,1432,1241,22340024,22733465,23128129,23475686,23815995,6.611452163166879e-05,0.0005659565773071685,6.782951916920715e-05,0.0005894627620558503,6.312659359518446e-05,0.0005539615309997622,6.099928240648644e-05,0.0005525003363054012,5.210783761081576e-05,0.00048635519364192005,-255.11079800000027,-10.088627774001333,-1168.5690701856608
2,Russia,9076.86063,10045.11709,10667.052090000001,9732.613337,6490.811649,4.78151205,4.93199479,5.07075241,5.17099307,5.27700319,1898,2036,2103,1882,1230,142960868,143201676,143506911,143819666,144096870,1.327636035338006e-05,6.349192444746487e-05,1.4217710692156983e-05,7.014664472223076e-05,1.4654346507395731e-05,7.433127795496902e-05,1.3085832086412994e-05,6.767234000529525e-05,8.535924479136848e-06,4.5044778897695695e-05,-548.4601714999998,-30.211996958908898,-1961.0038180043846
3,Germany,39678.838019999996,38489.76776,41778.46536,42097.35641,36369.80473,10.71509959,10.76729532,10.91510275,10.95738405,11.07906625,3703,3574,3827,3841,3282,80274983,80425823,80645605,80982500,81686611,4.612894156576775e-05,0.0004942864705433821,4.44384635019526e-05,0.0004785747453277538,4.745453890512694e-05,0.0005180501201522389,4.743000030870867e-05,0.0005198327590528818,4.0177942992395655e-05,0.00044523581385938515,-301.04779299999865,-3.7935560619020197,-1379.7089320368427
4,UK,22069.57985,22173.09184,26460.72369,28774.54799,27155.2528,8.42210613,8.33916884,9.77234704,9.72392342,9.79273451,2620,2658,2707,2959,2773,63258918,63700300,64128226,64613160,65128861,4.141708525586859e-05,0.00034887697336207993,4.172664806916137e-05,0.0003480845747979209,4.221230133514063e-05,0.0004126221063716935,4.5795624296969844e-05,0.00044533571783209486,4.2577130283300975e-05,0.00041694653311993276,1677.280205,37.99982184527179,10318.947685633178
5,France,31441.826589999997,30893.18224,32462.496369999997,33527.489010000005,27855.199689999998,11.1942851,11.320896300000001,11.44199369,11.59500673,11.50136047,2808,2728,2837,2891,2421,65342780,65659809,65998660,66316092,66593366,4.29733782370447e-05,0.00048118287269075476,4.154748607325373e-05,0.0004705036872708539,4.298572122524912e-05,0.0004918659919762007,4.359424557164798e-05,0.0005055709406097092,3.635497265598498e-05,0.0004182879070867209,-453.89470299999925,-7.218007861291993,-2010.5905034027828
6,India,6197.267164,6288.082348,7405.772542000001,7371.462355,8017.721361,3.24634215,3.32935296,3.74944184,3.61956552,3.59770551,1908,1888,1975,2036,2228,1250288729,1265782790,1280846129,1295604184,1310152403,1.526047508663097e-06,4.956668823973698e-06,1.491567127405801e-06,4.967742015199938e-06,1.5419494623776156e-06,5.7819377162672445e-06,1.5714676018675161e-06,5.689594434807722e-06,1.7005655181017898e-06,6.1196860324348085e-06,0.0,0.0,0.0
7,Japan,64509.299779999994,64756.868460000005,52904.711110000004,49683.364010000005,44449.67885,10.61671765,10.79065328,10.79159414,10.83205006,10.87187938,6076,6001,4902,4586,4088,127833000,127629000,127445000,127276000,127141000,4.7530762792080294e-05,0.0005046372985066453,4.701909440644368e-05,0.00050738365465529,3.846365098670015e-05,0.00041511798116834715,3.603193060749866e-05,0.0003903592508406927,3.2153278643395916e-05,0.00034960932232718005,0.0,0.0,0.0
8,South Korea,7512.437663,7910.792834000001,8691.640153,9780.968938,9878.392067,6.30238059,6.43717494,6.57805915,6.82039351,7.04921624,1191,1228,1321,1434,1401,49936638,50199853,50428893,50746659,51014947,2.3850223957808293e-05,0.00015043939608028878,2.4462223026828387e-05,0.00015758597607845587,2.619530038067661e-05,0.00017235437139181302,2.825801793178148e-05,0.00019274114061380867,2.7462539557279165e-05,0.00019363721120792306,0.0,0.0,0.0
9,Brazil,24089.88648,22746.7824,22439.39936,25241.097830000002,20132.07273,9.783092300000002,10.03918369,10.23850921,10.81982148,11.4647339,2462,2265,2191,2332,1756,197514534,199287296,201035903,202763735,204471769,1.246490549399266e-05,0.00012196513336076829,1.1365501190803452e-05,0.00011414065450514217,1.0898550792690995e-05,0.0001116188652133445,1.1501070445363417e-05,0.00012448526769345613,8.587982627567524e-06,9.845893557070953e-05,0.0,0.0,0.0
