Country,Year,Expenditure
US,2011,253103.0335
US,2012,266842.0953
US,2013,274918.4808
US,2014,287619.8567
US,2015,303713.2253
Australia,2011,12643.48352
Australia,2012,13400.53107
Australia,2013,12812.09375
Australia,2014,12970.32441
Australia,2015,11583.03286
Brazil,2011,24089.88648
Brazil,2012,22746.7824
Brazil,2013,22439.39936
Brazil,2014,25241.09783
Brazil,2015,20132.07273
Russia,2011,9076.86063
Russia,2012,10045.11709
Russia,2013,10667.05209
Russia,2014,9732.613337
Russia,2015,6490.811649
India,2011,6197.267164
India,2012,6288.082348
India,2013,7405.772542
India,2014,7371.462355
India,2015,8017.721361
UK,2011,22069.57985
UK,2012,22173.09184
UK,2013,26460.72369
UK,2014,28774.54799
UK,2015,27155.2528
Germany,2011,39678.83802
Germany,2012,38489.76776
Germany,2013,41778.46536
Germany,2014,42097.35641
Germany,2015,36369.80473
South Korea,2011,7512.437663
South Korea,2012,7910.792834
South Korea,2013,8691.640153
South Korea,2014,9780.968938
South Korea,2015,9878.392067
France,2011,31441.82659
France,2012,30893.18224
France,2013,32462.49637
France,2014,33527.48901
France,2015,27855.19969
Japan,2011,64509.29978
Japan,2012,64756.86846
Japan,2013,52904.71111
Japan,2014,49683.36401
Japan,2015,44449.67885
