State,Year,GDP,Expenditure,Total_GDP
US,2011,0.045767043,711338,15542581.59
US,2012,0.042278181,684780,16197007.15
US,2013,0.038111987,639704,16784850.39
US,2014,0.034808972,609914,17521746.98
US,2015,0.032718313,596104,18219276.77
Australia,2011,0.017693899,26597.2,1503184.798
Australia,2012,0.016799174,26216.6,1560588.634
Australia,2013,0.016495331,24825.3,1504989.503
Australia,2014,0.01781295,25783.7,1447469.397
Australia,2015,0.019584513,24045.6,1227786.466
Brazil,2011,0.015,36936,2462400
Brazil,2012,0.015,33987,2265800
Brazil,2013,0.015,32875,2191666.667
Brazil,2014,0.014,32660,2332857.143
Brazil,2015,0.014,24584,1756000
Russia,2011,0.034234479,70237.5,2051659.673
Russia,2012,0.036859687,81469.4,2210257.51
Russia,2013,0.038462327,88352.9,2297128.304
Russia,2014,0.041041822,84696.5,2063663.255
Russia,2015,0.048627581,66418.7,1365864.775
India,2011,0.026,49634,1909000
India,2012,0.025,47217,1888680
India,2013,0.024,47404,1975166.667
India,2014,0.025,50914,2036560
India,2015,0.023,51257,2228565.217
UK,2011,0.022873942,60270.4,2634893.452
UK,2012,0.02185442,58495.7,2676607.295
UK,2013,0.020650247,56861.8,2753565.127
UK,2014,0.01948807,59182.9,3036878.459
UK,2015,0.01859612,53862.2,2896421.404
Germany,2011,0.012811122,48140.3,3757695.852
Germany,2012,0.013112614,46470.9,3543984.441
Germany,2013,0.012239937,45930.5,3752511.144
Germany,2014,0.011825059,46102.7,3898728.962
Germany,2015,0.011774565,39812.6,3381237.438
South Korea,2011,0.02577346,30991.7,1202465.637
South Korea,2012,0.026129823,31951.8,1222809.661
South Korea,2013,0.026279871,34311.2,1305607.626
South Korea,2014,0.026607665,37552.3,1411333.914
South Korea,2015,0.026447585,36570.8,1382765.194
Japan,2011,0.009868063,60762.2,6157459.676
Japan,2012,0.009674271,60011.5,6203206.422
Japan,2013,0.009508659,49023.9,5155711.231
Japan,2014,0.009669993,46881.2,4848111.059
Japan,2015,0.009580504,42106.1,4394977.55
France,2011,0.022576613,64600.9,2861407.953
France,2012,0.02236926,60035.2,2683825.929
France,2013,0.02220397,62417.1,2811078.379
France,2014,0.022303601,63613.6,2852167.235
France,2015,0.022698905,55342.1,2438095.582
