Country,MS2011,MS2012,MS2013,MS2014,MS2015,%MS2011,%MS2012,%MS2013,%MS2014,%MS2015,total_GDP2013,total_GDP2014,total_GDP2015,total_GDP2011,total_GDP2012,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,GDP_PP_2013,MS_PP_2013,GDP_PP_2014,MS_PP_2014,GDP_PP_2015,MS_PP_2015,GDP_PP_2011,MS_PP_2011,GDP_PP_2012,MS_PP_2012,Change,Percentage_change_MS,Value_change_MS
US,711338,684780,639704,609914,596104,4.576704253,4.227818074,3.811198676,3.480897196,3.271831264,167848,175217,182192,155425,161970,311580009,313874218,316234505,318622525,321039839,0.000530771,0.002022879,0.00054992,0.001914221,0.000567506,0.001856791,0.000498829,0.002283003,0.000516035,0.002181702,0,0,0
Australia,26597.2,26216.6,24825.3,25783.7,24045.6,1.769389864,1.679917358,1.649533076,1.781294955,1.958451254,15049,14474,12277,15031,15605,22340024,22733465,23128129,23475686,23815995,0.00065068,0.001073381,0.000616553,0.001098315,0.000515494,0.001009641,0.000672828,0.001190563,0.000686433,0.001153216,-553.61,-10.40729851,-2502.497371
Russia,70237.5,81469.4,88352.9,84696.5,66418.7,3.423447933,3.685968673,3.846232732,4.104182213,4.862758102,22971,20636,13658,20516,22102,142960868,143201676,143506911,143819666,144096870,0.000160069,0.00061567,0.000143485,0.000588908,9.48E-05,0.000460931,0.000143508,0.000491306,0.000154342,0.000568914,-441.05,-3.139704574,-2085.350962
Germany,48140.3,46470.9,45930.5,46102.7,39812.6,1.281112196,1.311261447,1.223993716,1.182505896,1.177456492,37525,38987,33812,37576,35439,80274983,80425823,80645605,80982500,81686611,0.000465307,0.000569535,0.000481425,0.000569292,0.000413923,0.000487382,0.000468091,0.000599692,0.000440642,0.000577811,-1702.36,-17.68123589,-7039.359719
UK,60270.4,58495.7,56861.8,59182.9,53862.2,2.287394211,2.185441954,2.065024666,1.948806997,1.859612024,27535,30368,28964,26348,26766,63258918,63700300,64128226,64613160,65128861,0.000429374,0.000886689,0.000469997,0.000915957,0.000444718,0.00082701,0.00041651,0.000952757,0.000420186,0.000918296,-1212.92,-10.06231915,-5419.786464
France,64600.9,60035.2,62417.1,63613.6,55342.1,2.257661284,2.236926011,2.220396951,2.230360063,2.26989054,28110,28521,24380,28614,26838,65342780,65659809,65998660,66316092,66593366,0.000425918,0.000945733,0.000430077,0.000959248,0.000366103,0.000831045,0.000437906,0.000988646,0.000408743,0.000914337,-1493.92,-11.56268721,-6399.033917
India,49634,47217,47404,50914,51257,2.6,2.5,2.4,2.5,2.3,19751,20365,22285,19090,18886,1250288729,1265782790,1280846129,1295604184,1310152403,1.54E-05,3.70E-05,1.57E-05,3.93E-05,1.70E-05,3.91E-05,1.53E-05,3.97E-05,1.49E-05,3.73E-05,0,0,0
Japan,60762.2,60011.5,49023.9,46881.2,42106.1,0.986806293,0.967427083,0.950865861,0.966999334,0.958050431,51557,48481,43949,61574,62032,127833000,127629000,127445000,127276000,127141000,0.000404543,0.000384667,0.000380912,0.000368343,0.000345671,0.000331176,0.000481675,0.000475325,0.000486034,0.000470203,0,0,0
South Korea,30991.7,31951.8,34311.2,37552.3,36570.8,2.577345967,2.612982317,2.62798705,2.660766488,2.644758513,13056,14113,13827,12024,12228,49936638,50199853,50428893,50746659,51014947,0.000258899,0.000680388,0.000278107,0.000739996,0.000271038,0.000716864,0.000240785,0.00062062,0.000243586,0.000636492,0,0,0
Brazil,36936,33987,32875,32660,24584,1.5,1.5,1.5,1.4,1.4,21916,23328,17560,24624,22658,197514534,199287296,201035903,202763735,204471769,0.000109015,0.000163528,0.00011505,0.000161074,8.59E-05,0.000120232,0.000124669,0.000187004,0.000113695,0.000170543,0,0,0
